region,timezone,language,package,hours_use,sum_length,is_paid
KR,9,ko,GPU_7A,1,34,1
VN,7,en,GPU_3A,1,47,1
VN,7,en,GPU_5A,1,297,1
VN,7,en,GPU_4P,1,48,1
IT,0,it,GPU_4A,0,10,1
VN,7,vi,GPU_3A,1,37,0
VN,7,en,GPU_6,26,11,1
CG,7,vi,GPU_3A,0,34,0
FR,6,en,GPU_3A,4,32,1
VN,7,en,GPU_3A,1,27,1
BR,-3,pt,GPU_4A,1,29,1
VN,7,vi,GPU_3A,0,14,1
FR,1,fr,GPU_3A,1,178,1
CA,-7,en,GPU_8A,1,64,1
IN,5,en,GPU_5,0,9,0
VN,7,en,GPU_3A,0,53,1
VN,7,vi,GPU_3A,0,47,0
GB,1,en,GPU_4A,0,45,1
ES,1,es,GPU_5,2,3,1
BR,-4,pt,GPU_3A,0,51,0
BD,6,en,GPU_4A,0,29,0
FR,2,fr,GPU_8A,3,57,1
US,-5,en,CPU_1,0,34,1
FR,2,en,GPU_3A,2,266,1
JP,9,ja,GPU_7A,0,23,1
CN,8,en,GPU_3A,1,25,1
IN,-4,en,GPU_3A,1,64,1
AX,7,vi,GPU_3A,0,25,0
IN,5,en,GPU_3A,0,27,1
CH,2,de,GPU_4A,0,25,1
BR,-3,pt,GPU_3A,1,46,0
DE,2,de,GPU_3A,3,166,0
IN,5,en,GPU_3A,7,82,1
IT,1,en,GPU_3A,2,28,1
VN,7,vi,CPU_1,0,10,1
GB,0,en,GPU_4A,0,50,1
DK,2,da,GPU_3A,1,49,1
CO,-5,es,CPU_1,0,10,1
FR,2,en,GPU_3A,2,189,1
PH,8,en,GPU_3A,0,24,0
BG,2,bg,CPU_1,0,43,0
IT,2,it,GPU_4A,1,41,0
IN,5,en,GPU_1,3,12,0
VN,7,vi,GPU_1,1,69,1
VN,7,en,GPU_3A,0,131,1
VN,7,vi,CPU_1,4,26,1
ID,7,id,GPU_3A,1,25,0
FR,1,fr,GPU_9A,2,35,1
AR,-3,es,GPU_3A,0,15,0
SK,1,sk,GPU_3A,0,31,1
IT,1,it,GPU_4A,0,124,1
VN,7,vi,CPU_1,7,79,1
PT,0,en,GPU_3A,0,1,1
RO,3,ro,GPU_3A,0,93,1
VN,7,vi,GPU_3A,2,127,1
US,-4,en,GPU_7A,1,10,1
VN,7,en,GPU_3A,0,151,1
VN,7,en,GPU_4A,6,39,1
GB,1,en,GPU_6,1,8,1
IE,1,en,GPU_3A,0,8,1
TD,1,fr,GPU_4A,1,183,1
GB,0,en,GPU_3A,1,24,0
IT,2,en,GPU_1,26,15,1
VN,7,vi,GPU_3A,0,28,0
TR,3,tr,GPU_9A,3,45,1
VN,7,en,CPU_1,13,25,1
AU,10,en,GPU_3A,0,30,1
VN,7,en,CPU_1,8,15,1
RO,2,en,GPU_3A,0,39,1
US,-5,en,GPU_4A,2,13,1
VN,7,vi,GPU_3A,0,60,1
CA,-7,en,CPU_1,1,22,0
JP,9,zh,GPU_4A,0,15,1
US,-4,en,GPU_4A,1,10,1
BR,-3,en,GPU_3A,1,30,0
SE,1,en,GPU_3A,3,133,1
CA,-5,en,GPU_5P,0,46,1
US,-4,en,GPU_3A,0,88,1
GB,0,en,GPU_3A,15,51,1
RU,5,ru,GPU_3A,0,15,1
VN,7,en,CPU_1,0,46,0
FI,3,fi,GPU_5P,4,50,1
GB,1,en,CPU_1,2,31,1
VN,7,vi,GPU_3A,0,162,1
TT,-4,en,GPU_3A,0,65,1
HU,1,en,GPU_3A,1,183,1
IT,1,it,GPU_3A,3,84,1
US,-9,en,GPU_5P,1,93,1
FR,2,fr,GPU_3A,1,30,1
CO,-5,es,GPU_4A,1,53,1
FR,2,fr,GPU_8A,0,84,1
VN,7,vi,CPU_1,0,51,0
VN,7,en,GPU_5,0,14,1
ES,2,en,GPU_6,0,13,1
NO,1,en,GPU_3A,0,31,1
DE,1,de,GPU_3A,21,38,1
VN,7,vi,CPU_1,1,37,1
IN,5,en,GPU_7A,16,27,1
VN,7,vi,GPU_3A,1,168,1
FR,2,fr,GPU_3A,6,72,1
ZA,2,en,GPU_3A,0,12,1
MX,-5,en,GPU_3A,1,101,1
GB,0,it,GPU_3A,0,0,1
VN,7,en,GPU_3A,1,133,0
VN,7,en,GPU_3A,1,29,0
VN,7,vi,GPU_3A,0,11,1
VN,7,en,GPU_3A,1,27,0
IN,5,en,GPU_1,1,9,0
FR,2,fr,GPU_4A,0,49,1
US,-8,en,CPU_1,6,183,1
KZ,6,en,GPU_3A,1,25,0
GB,0,en,GPU_3A,1,209,1
US,-6,en,GPU_3A,3,61,1
IN,5,en,GPU_3A,3,43,1
HU,2,hu,GPU_8A,1,26,1
ID,8,en,GPU_3A,0,30,1
IN,5,en,GPU_3A,1,96,0
US,-7,en,GPU_3A,14,161,1
VN,7,vi,GPU_4A,17,49,1
VN,7,en,GPU_3A,2,25,0
LK,5,en,GPU_3A,2,33,1
US,-4,en,GPU_3A,6,63,1
VN,7,vi,CPU_1,35,64,1
VN,7,vi,GPU_3A,0,38,1
FR,2,fr,GPU_8A,15,56,1
IN,5,en,GPU_3A,1,25,0
IE,1,en,GPU_3A,2,34,1
NL,2,nl,GPU_4A,2,29,1
RU,3,ru,GPU_4A,2,22,1
RU,7,ru,GPU_3A,0,250,1
GB,0,en,CPU_1,0,30,1
IN,5,en,GPU_6,0,24,1
CN,8,en,GPU_5P,2,48,1
US,-6,en,GPU_5P,1,83,1
IT,2,it,GPU_3A,1,13,1
VN,7,en,GPU_3A,0,39,0
VN,7,vi,GPU_3A,0,26,1
IN,5,en,GPU_3A,0,26,1
CA,-4,en,GPU_3A,1,115,1
VN,7,vi,GPU_3A,1,29,0
GB,1,en,GPU_4A,0,28,1
VN,7,en,GPU_3A,12,27,1
IN,5,en,GPU_3A,0,37,0
VN,7,vi,CPU_1,3,52,0
VN,7,vi,CPU_1,0,27,0
RO,3,en,GPU_3A,0,11,1
GB,0,en,CPU_1,0,10,1
VN,7,en,GPU_3A,3,34,1
EC,-5,es,GPU_3A,1,38,1
DE,1,en,GPU_1,3,4,0
VN,7,en,GPU_3A,0,16,1
US,-7,en,GPU_4A,44,41,1
CA,-7,en,GPU_4P,0,60,1
KN,-4,en,GPU_4A,15,31,1
VN,7,vi,GPU_4A,1,48,1
VN,7,en,GPU_3A,1,50,1
TR,3,tr,GPU_5P,0,48,1
GB,1,en,GPU_5,4,40,1
HK,8,en,GPU_6,0,15,1
MX,-5,en,GPU_3A,0,69,0
NL,1,nl,GPU_3A,1,27,0
GB,1,en,GPU_5P,0,45,1
MC,1,fr,GPU_4A,1,26,0
BR,1,en,CPU_1,1,9,1
KR,9,ko,GPU_4P,1,42,1
US,-5,en,CPU_1,0,53,1
DE,1,de,GPU_7A,0,7,1
ZM,2,en,GPU_3A,0,29,0
IT,2,it,GPU_3A,1,35,1
CA,-4,en,GPU_5P,0,45,1
LY,0,en,GPU_3A,0,37,1
JP,9,ja,GPU_4A,0,36,1
US,-7,en,GPU_3A,1,39,1
FR,2,fr,GPU_3A,2,58,1
KR,9,ko,GPU_9A,3,112,1
BR,-3,en,GPU_3A,1,46,0
RU,3,ru,GPU_3A,1,38,1
JO,3,en,GPU_3A,3,33,1
SA,3,en,GPU_1,3,10,0
US,-4,en,GPU_4A,2,28,1
OM,4,en,GPU_5P,0,39,1
US,-5,en,GPU_3A,1,221,1
DE,1,de,GPU_5P,0,77,1
AU,8,en,GPU_5P,0,55,1
VN,7,vi,GPU_3A,1,159,1
NL,1,nl,GPU_3A,1,23,0
ES,2,es,GPU_4A,0,25,0
VN,7,vi,GPU_3A,0,26,1
US,-7,en,GPU_3A,1,43,1
AT,1,de,CPU_1,32,0,1
VN,7,en,GPU_4A,7,33,1
VN,7,vi,CPU_1,2,26,1
PK,5,en,CPU_1,1,66,1
CA,3,fr,GPU_4A,0,386,1
HK,8,en,GPU_1,1,19,0
VN,7,en,GPU_3A,0,64,0
PE,-5,en,GPU_3A,1,71,1
US,-8,en,GPU_4A,0,32,0
ID,7,en,GPU_3A,1,61,0
US,-4,en,GPU_4P,0,46,0
BR,-3,pt,GPU_3A,0,71,0
KR,9,ko,GPU_5P,2,70,1
GB,0,en,GPU_3A,0,18,1
JP,9,ja,GPU_4A,0,11,1
PL,1,pl,GPU_1,1,47,0
VN,7,vi,GPU_3A,1,84,1
VN,7,vi,CPU_1,3,40,1
ES,2,es,GPU_3A,0,49,1
BR,-3,pt,GPU_3A,4,50,0
VN,7,vi,GPU_4A,2,98,1
VN,7,vi,GPU_3A,0,51,1
US,-6,en,GPU_3A,1,11,0
IN,5,en,GPU_3A,0,25,1
VN,7,en,GPU_3A,6,16,1
CH,1,de,GPU_3A,5,133,1
RU,3,en,GPU_3B,1,61,1
US,-4,en,GPU_3A,0,37,1
GB,0,en,GPU_3A,0,97,1
US,-6,en,GPU_3A,0,53,1
KR,9,ko,GPU_4A,2,24,0
VN,7,vi,GPU_3A,0,114,1
CH,1,en,GPU_3A,2,84,1
BR,-3,pt,GPU_3A,2,49,0
US,-5,en,GPU_9A,1,32,1
VN,7,en,GPU_3A,1,48,1
US,-7,en,GPU_4A,0,16,1
VN,7,vi,CPU_1,3,18,0
AZ,4,en,GPU_3A,1,64,0
FR,2,fr,GPU_4A,1,29,1
VN,7,vi,GPU_3A,0,23,1
GB,0,en,GPU_1,0,12,0
VN,7,vi,CPU_1,0,45,1
GB,0,en,GPU_9A,1,48,1
BD,6,en,CPU_1,6,61,1
US,-4,en,GPU_3A,1,41,1
IN,5,en,GPU_3A,0,34,1
US,-7,en,GPU_3A,2,27,0
VN,7,vi,CPU_1,0,16,0
TR,3,en,GPU_3A,2,30,0
BE,1,fr,GPU_5P,3,52,1
VN,7,vi,GPU_1,2,60,0
MA,1,fr,GPU_3A,2,30,0
CA,-4,en,GPU_4A,0,501,1
IN,5,en,GPU_3A,0,50,0
VN,7,vi,GPU_1,1,43,1
AU,10,en,GPU_8A,1,9,1
NZ,13,en,GPU_3A,1,57,0
VN,7,en,GPU_3A,0,17,0
CH,2,it,GPU_3B,0,14,1
AE,4,en,GPU_3A,1,81,1
MX,-6,es,GPU_8A,1,29,1
IN,5,en,GPU_3A,1,16,0
DE,1,de,CPU_1,0,29,1
MY,8,en,GPU_3A,2,49,1
KE,3,en,GPU_1,23,47,1
IT,1,it,GPU_3A,2,42,0
US,-8,en,GPU_7A,2,6,1
US,-7,en,GPU_3A,0,158,1
US,-5,en,GPU_3A,1,133,0
US,-4,en,GPU_4A,11,36,1
BR,-3,en,GPU_3A,1,32,1
VN,7,en,GPU_3A,0,27,0
LB,2,en,GPU_3A,2,30,0
VN,7,vi,GPU_3A,0,54,1
PH,8,en,GPU_3A,1,23,1
HK,8,en,GPU_1,0,2,0
PH,8,en,GPU_3A,0,49,1
VN,7,vi,GPU_3A,1,10,0
GB,1,en,CPU_1,2,8,1
US,-5,en,GPU_3A,0,9,1
VN,7,vi,GPU_3A,5,131,1
EC,-5,en,CPU_1,1,8,1
IN,5,en,GPU_3A,1,26,0
VN,7,vi,GPU_3A,7,22,1
GB,1,en,GPU_7A,0,9,1
IN,5,en,GPU_3A,1,18,0
US,-7,en,GPU_3A,0,11,1
US,-4,en,GPU_8A,0,512,1
CO,-5,en,GPU_7A,8,62,1
PK,5,en,GPU_4A,6,35,1
CR,-6,es,GPU_3A,0,47,0
IN,5,en,GPU_3A,3,94,1
BR,-3,pt,GPU_3A,1,43,1
RO,3,en,GPU_3A,1,61,1
SE,4,en,GPU_3A,1,91,1
US,-4,en,GPU_3A,1,52,1
IN,5,en,GPU_4A,1,10,0
FR,1,fr,GPU_3A,1,91,1
IN,5,en,GPU_3A,0,26,1
VN,7,en,GPU_4A,0,31,0
CO,-5,en,GPU_9A,6,116,1
ZA,2,en,GPU_3A,2,28,0
ES,2,es,GPU_3A,0,32,0
IN,-7,en,GPU_8A,0,133,1
AU,10,en,GPU_4A,1,65,1
IT,2,en,GPU_4A,6,272,1
HK,8,en,GPU_4A,1,42,0
SG,8,en,GPU_4A,1,65,1
VN,7,vi,GPU_1,1,10,1
BG,3,en,GPU_3A,0,47,1
IN,5,en,GPU_3A,3,46,1
MZ,2,en,GPU_4A,0,53,0
ZA,2,en,GPU_3A,0,25,0
JP,9,ja,GPU_5P,2,48,1
DE,1,de,GPU_3A,0,4,1
SE,2,en,GPU_6,0,4,1
BR,-3,pt,GPU_4A,1,26,1
GB,1,en,GPU_3A,2,210,1
BR,-3,pt,GPU_3A,0,7,0
IR,4,en,GPU_5A,0,10,1
VN,7,en,GPU_3A,0,32,0
DE,1,de,GPU_5,1,0,0
VN,7,en,CPU_1,1,23,1
DE,2,de,GPU_3A,1,95,1
VN,7,vi,GPU_3A,0,28,0
IN,5,en,GPU_3A,1,29,0
GB,0,en,GPU_8A,0,718,1
KR,9,ko,GPU_8A,2,98,1
VN,7,en,CPU_1,1,31,1
KE,3,en,GPU_3A,0,58,0
HN,-6,en,GPU_3A,0,31,1
AU,10,en,GPU_3A,0,53,1
CA,-5,en,GPU_3A,0,28,1
ID,7,en,GPU_3A,0,52,1
VN,7,vi,GPU_3A,0,61,1
PL,1,pl,GPU_3A,1,53,1
VN,7,vi,CPU_1,1,35,0
US,-4,en,GPU_3A,0,38,0
VN,7,vi,GPU_3A,0,22,1
FR,2,fr,GPU_4A,1,40,1
AU,10,en,GPU_3A,16,91,1
DE,2,en,GPU_3A,1,24,0
US,-4,en,GPU_5A,0,23,1
US,-5,en,CPU_1,1,27,1
FR,2,fr,GPU_4A,0,169,1
KR,9,ko,GPU_3A,1,11,1
IN,5,en,GPU_3A,0,26,1
KR,9,ko,GPU_6,2,4,1
US,-5,en,CPU_1,4,39,1
AU,11,en,GPU_5P,0,38,1
VN,7,en,GPU_9A,1,49,0
VN,7,en,CPU_1,1,37,1
BR,-3,en,GPU_8A,2,55,1
CA,-4,en,GPU_5A,0,19,1
RU,3,en,GPU_1,1,143,1
ES,2,es,GPU_9A,1,42,1
US,-7,en,GPU_3A,0,14,1
IN,5,en,GPU_3A,2,19,0
US,-7,en,GPU_8A,4,13,1
FR,1,fr,GPU_5P,1,33,0
NL,1,nl,GPU_3A,1,130,1
IN,7,en,GPU_5P,0,84,1
AU,11,en,CPU_1,0,9,0
PL,2,pl,GPU_3A,11,32,1
US,-4,en,GPU_6,0,1,1
IN,5,en,GPU_4A,0,26,0
DE,2,en,GPU_3A,0,26,0
PH,8,en,GPU_3A,3,138,1
RO,3,en,GPU_3A,1,92,0
US,-5,en,GPU_3A,2,60,1
VN,7,vi,CPU_1,5,55,0
CH,2,en,GPU_5P,0,51,1
US,1,fr,GPU_1,1,8,0
RW,2,en,GPU_4A,2,46,1
IQ,-8,en,CPU_1,3,16,0
VN,7,en,GPU_1,1,61,1
VN,7,en,CPU_1,13,45,1
KE,3,en,GPU_3A,2,30,0
CA,-5,en,GPU_4A,1,31,1
BR,-3,pt,GPU_1,3,14,0
US,-8,en,GPU_8A,13,87,1
PT,0,pt,GPU_5P,3,97,1
TH,7,th,GPU_3A,3,30,1
RU,3,ru,GPU_4A,1,192,1
KR,9,ko,GPU_3B,0,78,1
JP,9,ja,GPU_4A,1,31,1
US,-7,en,GPU_5P,3,58,1
IN,5,en,GPU_3A,1,65,0
AU,11,en,GPU_3A,1,120,1
US,-5,en,GPU_5P,4,53,1
MY,8,en,GPU_4A,0,29,1
IT,1,it,GPU_5P,0,49,0
US,-8,en,GPU_3A,0,8,1
CA,-5,en,CPU_1,0,5,0
RO,3,en,GPU_4A,0,57,1
AU,10,en,GPU_5P,0,74,1
US,-7,en,GPU_9A,0,123,1
AU,10,en,GPU_4A,0,26,1
UG,3,en,GPU_3A,1,48,0
AT,1,de,GPU_3A,1,18,1
BR,-3,pt,GPU_3A,0,29,1
MA,1,en,GPU_4A,1,11,1
US,-7,en,GPU_4A,1,44,1
GB,0,en,GPU_3A,0,102,1
CO,-5,es,GPU_7A,2,33,1
DE,1,de,GPU_5P,1,95,1
AU,11,en,GPU_6,1,7,1
AT,1,en,GPU_3A,0,133,1
VN,7,vi,GPU_3A,2,26,1
SA,3,en,GPU_1,0,19,0
IL,3,en,GPU_4A,0,96,1
VN,7,vi,GPU_3A,1,46,1
PT,1,es,GPU_3A,0,26,1
VN,7,en,GPU_4A,1,26,1
VN,7,en,CPU_1,0,28,1
US,-7,en,CPU_1,3,57,0
HN,-6,en,GPU_3A,2,27,0
VN,7,vi,CPU_1,2,67,1
VN,7,vi,GPU_3A,0,196,1
DE,2,en,GPU_3A,2,64,0
RO,3,en,GPU_4A,0,24,1
FR,2,fr,GPU_8A,0,45,1
CA,-4,en,GPU_4P,1,42,1
US,-4,en,GPU_4A,0,31,1
VN,7,vi,GPU_1,24,74,1
PL,2,en,GPU_5P,1,94,1
US,-5,en,GPU_8A,0,14,1
IN,5,en,GPU_3A,6,97,1
CN,8,zh,GPU_3A,1,32,0
RU,3,ru,GPU_3A,0,37,0
IT,2,it,GPU_9A,1,45,1
TW,8,zh,GPU_4A,0,52,1
US,-7,en,GPU_4P,1,47,1
UA,3,en,GPU_3A,1,35,1
AL,1,en,GPU_3A,1,33,1
US,-5,en,GPU_1,1,11,0
VN,7,vi,GPU_1,0,7,0
NL,1,en,GPU_3A,1,141,1
CA,-8,en,CPU_1,0,26,0
HK,8,en,GPU_4A,0,16,1
SA,3,en,GPU_3A,1,132,1
CH,2,de,GPU_3A,0,27,1
VN,7,vi,CPU_1,0,119,0
BH,3,en,CPU_1,40,19,1
CA,-4,en,GPU_3A,0,201,1
GR,3,en,GPU_3A,0,3,0
PH,8,en,GPU_3A,2,70,0
BR,-3,pt,GPU_3A,1,78,1
ES,2,es,GPU_3A,0,99,1
GB,0,en,GPU_1,3,0,0
VN,7,en,GPU_3A,0,83,0
KZ,6,en,GPU_3A,0,8,1
DK,2,da,GPU_4A,1,23,1
BD,6,en,GPU_8A,1,11,1
UA,2,ru,GPU_3A,0,76,1
MX,-5,es,GPU_3A,0,121,0
VN,7,vi,CPU_1,1,23,1
US,2,nl,GPU_3A,2,26,1
CA,-8,en,GPU_3A,0,27,1
SK,2,en,GPU_3B,0,68,1
IN,5,en,GPU_4A,8,47,1
CA,-4,en,GPU_3A,0,29,1
KR,9,ko,GPU_6,2,12,1
PL,2,pl,GPU_3A,0,39,0
VN,7,en,GPU_3A,0,133,0
CH,2,fr,GPU_5A,2,16,1
PT,0,en,GPU_3A,1,51,1
IT,1,it,GPU_3A,1,47,0
BR,-3,pt,GPU_3A,0,47,1
NL,1,en,GPU_3A,1,111,1
AU,10,en,GPU_4A,0,25,0
AR,-3,es,GPU_5P,0,55,1
US,0,en,GPU_1,3,2,0
HK,8,en,GPU_3A,1,463,1
CA,-5,en,GPU_3A,0,31,1
US,-4,en,GPU_3A,2,66,0
RS,1,en,GPU_1,3,3,1
NG,1,en,GPU_1,3,10,0
IN,5,en,GPU_3A,4,48,1
TR,3,tr,GPU_5,1,10,0
MY,8,en,GPU_3A,4,25,1
MA,1,fr,GPU_3A,2,133,0
SG,8,en,CPU_1,0,9,1
EG,2,en,GPU_1,0,17,1
VN,7,vi,GPU_3A,1,15,1
VN,7,vi,CPU_1,0,25,1
NL,1,en,GPU_3A,0,64,1
US,-4,en,GPU_7A,4,2,1
NL,2,en,GPU_9A,2,45,1
CZ,1,en,CPU_1,6,63,1
US,-7,en,GPU_4A,2,10,1
DE,2,en,GPU_7A,7,37,1
VN,7,vi,GPU_3A,1,51,1
NL,1,nl,GPU_1,0,74,1
US,-7,en,GPU_4P,1,57,1
LT,2,lt,GPU_3A,18,66,1
FR,2,en,GPU_4A,1,18,1
VN,7,vi,GPU_1,0,57,1
US,-4,en,GPU_3A,18,109,1
IN,-5,en,GPU_8A,2,61,1
GB,0,en,GPU_3A,0,27,0
DZ,1,fr,GPU_3A,1,56,0
CA,-5,en,GPU_8A,1,13,1
VN,7,vi,GPU_3A,22,35,1
NG,1,en,GPU_3A,12,30,1
US,-4,en,GPU_5P,1,48,1
US,-7,en,GPU_5P,4,14,1
VN,7,vi,GPU_3A,1,46,0
BR,-3,pt,GPU_4A,1,30,0
VN,7,vi,GPU_3A,2,53,0
GB,0,en,GPU_1,3,2,0
NO,1,en,GPU_3A,1,0,1
VN,7,vi,CPU_1,0,75,1
HR,2,en,GPU_3A,1,359,1
VN,7,en,GPU_3A,1,32,0
VN,7,vi,GPU_3A,4,103,1
VN,7,vi,GPU_3A,28,9,1
VN,7,vi,GPU_3A,0,48,1
IN,5,en,GPU_3A,2,8,0
VN,7,vi,GPU_3A,4,13,1
AU,11,en,GPU_1,2,70,1
IT,2,it,GPU_3A,0,10,0
RO,3,ja,GPU_4A,1,68,1
EC,-5,en,GPU_5A,1,23,1
CO,-5,es,GPU_5A,0,46,0
US,-7,en,GPU_3A,1,106,1
IT,2,it,GPU_7A,0,24,1
GH,0,en,GPU_9A,1,40,1
FR,1,fr,GPU_3A,0,98,1
US,-5,en,CPU_1,10,22,1
VN,7,en,GPU_3A,1,85,1
IT,1,it,GPU_3A,0,10,1
VN,7,vi,GPU_3A,0,50,1
BD,6,en,GPU_3A,2,60,0
PH,-8,en,GPU_1,3,9,0
DO,-4,en,GPU_3A,3,97,1
NG,1,en,CPU_1,1,15,1
ES,2,es,GPU_3A,10,28,1
IT,1,it,GPU_3A,18,9,1
FR,1,en,GPU_3A,1,39,1
IT,2,en,GPU_7A,0,24,0
US,-5,en,GPU_3A,4,81,1
VN,7,vi,GPU_1,2,20,0
MY,8,en,GPU_3A,0,5,0
VN,7,vi,CPU_1,1,0,0
VN,7,vi,GPU_3A,1,53,1
VN,7,vi,GPU_3A,2,141,1
VN,7,en,GPU_1,1,4,0
KR,9,ko,GPU_3A,0,8,0
CI,2,fr,GPU_3A,0,88,1
VN,7,vi,GPU_3A,1,25,1
JO,3,en,GPU_3A,0,26,0
VN,7,en,GPU_3A,7,27,1
TR,3,en,GPU_5A,2,11,1
VN,7,vi,GPU_3A,0,202,1
AE,4,en,GPU_3A,2,119,1
SV,-6,en,GPU_3A,0,49,0
ZA,2,en,GPU_3A,1,28,0
US,-4,en,GPU_3A,1,450,1
IT,2,en,GPU_9A,1,59,1
BR,-5,en,GPU_4A,1,475,1
VN,7,vi,GPU_4A,1,12,1
TH,7,en,GPU_3A,2,38,0
KR,9,ko,GPU_4A,1,20,1
US,-6,en,GPU_3A,1,40,1
VN,7,vi,CPU_1,0,41,1
VN,7,en,GPU_3A,2,24,0
MX,-6,es,GPU_3A,0,36,0
VN,7,vi,GPU_1,1,32,1
IN,5,en,GPU_4A,1,46,1
IT,1,it,GPU_1,1,12,1
CH,2,en,GPU_5P,3,59,1
BR,-3,en,GPU_1,0,42,1
FR,1,fr,CPU_1,40,23,1
VN,7,en,GPU_3A,1,42,1
US,-8,en,GPU_3A,0,27,0
BR,-3,pt,GPU_3A,1,58,0
VN,7,en,GPU_3A,3,21,1
FR,1,fr,GPU_7A,0,5,1
FR,2,en,CPU_1,5,24,0
VN,7,vi,GPU_3A,1,32,0
FR,3,fr,GPU_4A,1,50,1
US,-5,en,GPU_3A,1,8,1
VN,7,vi,CPU_1,1,1,0
US,-7,en,GPU_8A,1,45,1
DZ,1,en,GPU_3A,8,402,1
AU,10,en,GPU_8A,0,105,1
IN,-7,en,GPU_3A,2,25,0
FR,2,fr,GPU_3A,0,26,1
RU,3,ru,GPU_4A,0,47,1
LB,2,en,GPU_3A,1,26,0
IT,1,it,GPU_3A,0,28,0
VN,7,vi,GPU_1,0,55,1
CL,-3,es,GPU_4A,0,13,1
HK,8,en,GPU_5A,1,11,1
AU,10,en,GPU_4A,1,11,1
IT,1,it,GPU_3A,0,57,1
IE,0,en,GPU_6,0,3,1
CA,-5,en,GPU_3A,1,180,1
AU,10,en,CPU_1,5,10,1
US,-4,en,GPU_4P,1,53,1
BR,-3,pt,CPU_1,1,33,0
IT,2,it,GPU_8A,0,43,1
AR,-3,es,GPU_3A,1,31,0
VN,7,en,GPU_3A,3,248,1
VN,7,en,GPU_3A,8,42,1
FI,3,en,GPU_8A,3,29,1
IN,5,en,GPU_3A,2,27,0
CH,1,de,GPU_7A,1,16,1
VN,7,vi,GPU_1,1,2,0
VN,7,vi,GPU_3A,1,98,0
VN,7,vi,CPU_1,0,27,1
CN,8,zh,GPU_6,8,37,1
EG,2,en,GPU_4A,1,206,1
US,-8,en,GPU_3A,1,146,1
VN,7,en,GPU_3A,0,27,1
IN,5,en,GPU_3A,0,65,1
EG,2,en,GPU_9A,0,268,0
AU,10,en,GPU_3A,3,50,1
CA,-5,en,GPU_1,0,78,1
CO,-5,es,GPU_3A,1,30,0
MX,-7,es,GPU_4A,1,35,1
CO,-5,es,GPU_3A,0,8,0
PT,1,pt,GPU_3A,0,176,1
KR,9,ko,GPU_3A,15,37,1
BR,-3,en,GPU_3A,0,29,1
VN,7,vi,CPU_1,2,37,1
DE,1,de,GPU_3A,1,15,1
VN,7,en,GPU_3A,0,22,0
VN,7,vi,GPU_3A,1,25,0
IN,5,en,GPU_3A,2,55,0
ZA,2,en,GPU_3A,1,39,1
RO,2,en,GPU_5P,1,69,1
FR,2,fr,GPU_3A,1,26,0
US,-5,en,GPU_5A,5,26,1
